,cell_1,cell_2,tension,relative_adhesion,log_tension,log_adhesion
2010,cell_774,cell_779,91.13097244965029,2.0189333509010335e-16,4.5122977294666855,-36.138792160064405
2011,cell_774,cell_786,78.45827067347368,1.2571256982036817e-16,4.36256689967021,-36.6125335647252
2012,cell_774,cell_802,64.60931690191998,5.3720142277236163e-17,4.16835862487713,-37.46274365374472
2013,cell_774,cell_817,181.88040907488707,1.0767553305045709e-16,5.203349378101449,-36.76740929241503
2014,cell_775,cell_783,539.6289801362647,1.0150359911071812e-17,6.290881829593198,-39.12902250981479
2015,cell_775,cell_784,1286.7739166199055,1.8610206512816084e-18,7.159893525202878,-40.825406599420766
2016,cell_776,cell_790,118.8726733688552,1.1792303164899042e-17,4.778052948592885,-38.97908462940564
2017,cell_777,cell_781,55.49246125862655,1.1727949667141107e-16,4.016247178348327,-36.68197172744675
2018,cell_777,cell_795,26.262103479402253,9.546508929129725e-17,3.2681269677002502,-36.88777105039763
2019,cell_777,cell_810,345.1786973662791,4.732177562460009e-17,5.84406224631515,-37.58956111172078
2020,cell_778,cell_792,58.999488287430445,1.3110879784308123e-17,4.077528770773709,-38.87308927048875
2021,cell_778,cell_793,45.22171441762736,7.909526206327091e-19,3.8115773789490937,-41.68104888496358
2022,cell_778,cell_794,46.84411565912042,1.0613325250913058e-17,3.8468254012042618,-39.08442136311962
2023,cell_779,cell_799,515.1707379077507,1.5027318694017034e-17,6.244498375637798,-38.73666188298089
2024,cell_779,cell_803,221.13770043413163,7.175757359560794e-17,5.3987855863721705,-37.17323826948418
2025,cell_779,cell_812,234.70858924561807,1.6282087811283197e-17,5.45834469888788,-38.65646607760466
2026,cell_779,cell_814,178.19966012179748,1.0034470117667023e-16,5.182904607749803,-36.83792040346595
2027,cell_779,cell_817,256.32291993096106,1.494893454665159e-17,5.5464380555557495,-38.7418916443783
2028,cell_779,cell_819,233.3991942738366,1.92975795671267e-18,5.45275026772069,-40.78913708987035
2029,cell_780,cell_791,139.1592048533687,2.5220955650175125e-17,4.935618636365208,-38.21885645152141
2030,cell_780,cell_792,90.09235210656976,1.9760435626239348e-17,4.500835278731563,-38.46284993595379
2031,cell_780,cell_808,122.49417874857735,4.476572556709359e-17,4.8080635084358745,-37.64508888158122
2032,cell_780,cell_816,130.4891167191251,4.763128980420141e-17,4.871289826496729,-37.58304177978679
2033,cell_781,cell_785,1.894275002531191,1.4964281945117669e-16,0.638836180914042,-36.438280423029454
2034,cell_781,cell_810,328.87575555884825,4.752542077486508e-17,5.795680036762145,-37.58526693179918
2035,cell_782,cell_793,116.59772225850683,5.146444010444311e-19,4.758729739064411,-42.11081077411355
2036,cell_782,cell_797,79.23158594960445,4.9149999307394736e-18,4.3723750318108205,-39.854239934385355
2037,cell_782,cell_805,119.29665417942864,6.442315754005426e-19,4.781613283274115,-41.88622870227601
2038,cell_783,cell_784,1217.8034751884052,1.1951057970002111e-17,7.104804084831434,-38.96571186637955
2039,cell_783,cell_800,384.3137314502648,8.557740559703514e-17,5.951459228002625,-36.99711037889259
2040,cell_784,cell_786,526.2549256523389,8.529489375904392e-17,6.26578574486222,-37.000417083331854
2041,cell_784,cell_800,462.0030963972984,7.979219010594826e-17,6.135571593217934,-37.067106042572995
2042,cell_785,cell_810,330.05564930251126,1.3523455813483645e-17,5.799261274493404,-38.842106028433854
2043,cell_785,cell_815,70.59910800055877,9.256900227334801e-17,4.257017509866388,-36.918577336949475
2044,cell_785,cell_826,528.6761714838409,1.83209015995697e-18,6.27037609221218,-40.84107419490154
2045,cell_786,cell_800,68.02114021734539,1.3698829855915219e-17,4.219818542410405,-38.829221256683546
2046,cell_786,cell_802,52.33061083764907,1.496292991206199e-16,3.957581493116469,-36.43837077779174
2047,cell_787,cell_788,164.5898266233561,4.97989550140154e-17,5.103456479670381,-37.538537673736684
2048,cell_787,cell_799,516.2822481673486,5.304823405701984e-17,6.246653608508038,-37.47533009766173
2049,cell_788,cell_798,140.51596891464567,1.534313013220226e-17,4.945321140070733,-38.71586384843002
2050,cell_788,cell_799,422.1802490799038,3.169435610432417e-17,6.045432353362837,-37.9903930497338
2051,cell_788,cell_807,143.1715624066846,2.689257715110498e-17,4.964043648260128,-38.154681367702224
2052,cell_788,cell_818,221.99931386360768,1.5002636321725628e-17,5.402674291163033,-38.738305733451966
2053,cell_789,cell_791,143.18358740657968,3.2421147161778383e-18,4.96412763487542,-40.27030586681984
2054,cell_789,cell_798,159.04925527660964,4.7354937073389736e-17,5.069213935861711,-37.5888605920428
2055,cell_789,cell_801,80.57283185166513,5.876863340954163e-17,4.389161518889759,-37.372923406736824
2056,cell_789,cell_806,150.1592495594035,5.560308402582237e-18,5.011696394659236,-39.730878099078296
2057,cell_790,cell_796,36.34217546517668,3.171154328341576e-17,3.5929789253803266,-37.989850917860316
2058,cell_790,cell_811,62.005710774137256,5.5307328804123085e-18,4.127226490063572,-39.73621133903616
2059,cell_791,cell_801,179.50353066078802,4.2671208749403106e-17,5.190194877154325,-37.69300724924312
2060,cell_791,cell_816,213.59753126361352,1.0828538103660334e-18,5.36409354926463,-41.366931700796975
