,cell_1,cell_2,tension,type,distance_to_boundary
566,cell_341,cell_356,133.24574786949964,Hindbrain_awayfrom_boundary,4
567,cell_341,cell_363,5.8199960696995605,Hindbrain_awayfrom_boundary,4
570,cell_345,cell_356,88.8658605453592,Hindbrain_awayfrom_boundary,4
571,cell_347,cell_352,22.368579893485048,Hindbrain_awayfrom_boundary,5
572,cell_347,cell_356,1.1072794068839458,Hindbrain_awayfrom_boundary,5
575,cell_352,cell_356,21.87945450459031,Hindbrain_awayfrom_boundary,5
580,cell_356,cell_363,134.75483861827877,Hindbrain_awayfrom_boundary,5
581,cell_356,cell_364,115.78537212362288,Hindbrain_awayfrom_boundary,5
584,cell_363,cell_364,199.87407116843528,Hindbrain_awayfrom_boundary,5
593,cell_389,cell_400,124.183664483475,Hindbrain_awayfrom_boundary,3
600,cell_398,cell_435,119.06382746860594,Hindbrain_awayfrom_boundary,5
603,cell_400,cell_421,79.97667262998698,Hindbrain_awayfrom_boundary,2
605,cell_403,cell_416,288.340116913934,heterotypic,0
607,cell_404,cell_421,103.54707147010642,Hindbrain_awayfrom_boundary,1
609,cell_404,cell_432,70.02580809227986,Hindbrain_awayfrom_boundary,1
620,cell_411,cell_429,179.0568154779274,Midbrain_awayfrom_boundary,1
621,cell_411,cell_445,186.71082254053167,Midbrain_awayfrom_boundary,1
627,cell_413,cell_458,192.24767223636155,Midbrain_awayfrom_boundary,5
630,cell_416,cell_424,206.51159582986983,heterotypic,0
633,cell_416,cell_467,273.24508016125105,heterotypic,0
634,cell_416,cell_475,307.5069621596839,heterotypic,0
635,cell_418,cell_431,11.44118824700744,Hindbrain_awayfrom_boundary,3
636,cell_418,cell_435,176.1393780942671,Hindbrain_awayfrom_boundary,4
637,cell_418,cell_463,151.98709590701665,Hindbrain_awayfrom_boundary,4
642,cell_421,cell_432,80.90559773428448,Hindbrain_awayfrom_boundary,1
643,cell_421,cell_440,79.42598168840473,Hindbrain_awayfrom_boundary,2
644,cell_422,cell_444,178.80254153795963,Midbrain_awayfrom_boundary,3
645,cell_422,cell_458,121.31114562909596,Midbrain_awayfrom_boundary,4
646,cell_422,cell_489,161.9347382663456,Midbrain_awayfrom_boundary,4
656,cell_427,cell_435,86.17332376068629,Hindbrain_awayfrom_boundary,5
661,cell_429,cell_438,18.87900577958856,Midbrain_awayfrom_boundary,2
662,cell_429,cell_445,100.3234413195538,Midbrain_awayfrom_boundary,1
663,cell_429,cell_469,259.025576724992,Midbrain_awayfrom_boundary,2
664,cell_429,cell_470,95.89180464569964,Midbrain_awayfrom_boundary,1
665,cell_429,cell_481,256.794891083762,Midbrain_awayfrom_boundary,2
666,cell_431,cell_440,140.18915602139583,Hindbrain_awayfrom_boundary,2
667,cell_431,cell_463,156.77444752546674,Hindbrain_awayfrom_boundary,3
668,cell_431,cell_473,213.9980209368034,Hindbrain_awayfrom_boundary,3
669,cell_432,cell_440,105.64962347807293,Hindbrain_awayfrom_boundary,1
670,cell_432,cell_460,19.17672478669632,Hindbrain_awayfrom_boundary,1
671,cell_432,cell_467,215.5628491898756,Hindbrain_awayfrom_boundary,1
672,cell_432,cell_484,146.5125029103016,Hindbrain_awayfrom_boundary,1
675,cell_435,cell_452,200.7951990206872,Hindbrain_awayfrom_boundary,5
676,cell_435,cell_462,218.96775783077337,Hindbrain_awayfrom_boundary,5
677,cell_435,cell_463,223.4196957151765,Hindbrain_awayfrom_boundary,4
682,cell_438,cell_444,261.37279840219696,Midbrain_awayfrom_boundary,3
683,cell_438,cell_469,275.6950140728901,Midbrain_awayfrom_boundary,2
685,cell_440,cell_460,106.19605414950853,Hindbrain_awayfrom_boundary,2
686,cell_440,cell_473,201.9225589983882,Hindbrain_awayfrom_boundary,2
687,cell_440,cell_474,174.58568677393012,Hindbrain_awayfrom_boundary,2
688,cell_440,cell_482,253.1484539524251,Hindbrain_awayfrom_boundary,2
689,cell_440,cell_483,256.1609412879839,Hindbrain_awayfrom_boundary,2
694,cell_444,cell_469,125.77204320949728,Midbrain_awayfrom_boundary,2
695,cell_444,cell_489,104.42557305288608,Midbrain_awayfrom_boundary,3
696,cell_444,cell_505,40.54250787487828,Midbrain_awayfrom_boundary,2
697,cell_444,cell_522,108.63368704571414,Midbrain_awayfrom_boundary,3
699,cell_445,cell_470,61.47979826517891,Midbrain_awayfrom_boundary,1
716,cell_452,cell_462,213.3747502417697,Hindbrain_awayfrom_boundary,5
725,cell_457,cell_458,232.7395467425225,Midbrain_awayfrom_boundary,5
727,cell_458,cell_479,76.78470801163853,Midbrain_awayfrom_boundary,5
728,cell_458,cell_489,114.207759310099,Midbrain_awayfrom_boundary,4
729,cell_458,cell_495,70.16410764207262,Midbrain_awayfrom_boundary,5
730,cell_458,cell_506,96.29894621408545,Midbrain_awayfrom_boundary,4
731,cell_458,cell_507,81.15238104600664,Midbrain_awayfrom_boundary,5
735,cell_460,cell_482,267.7798541975008,Hindbrain_awayfrom_boundary,2
736,cell_460,cell_484,140.230163891435,Hindbrain_awayfrom_boundary,2
737,cell_460,cell_494,125.74582659690547,Hindbrain_awayfrom_boundary,2
739,cell_461,cell_475,307.4005744965185,heterotypic,0
740,cell_461,cell_491,345.5707055724883,heterotypic,0
742,cell_462,cell_463,11.510822465063171,Hindbrain_awayfrom_boundary,4
743,cell_462,cell_500,15.292058747593318,Hindbrain_awayfrom_boundary,5
744,cell_463,cell_473,202.1114409648775,Hindbrain_awayfrom_boundary,3
745,cell_463,cell_497,205.4685917817128,Hindbrain_awayfrom_boundary,4
746,cell_463,cell_500,13.221574748417083,Hindbrain_awayfrom_boundary,4
758,cell_467,cell_484,113.9383634887316,Hindbrain_awayfrom_boundary,1
760,cell_467,cell_503,96.99478217836678,Hindbrain_awayfrom_boundary,1
761,cell_467,cell_514,95.04893776069004,Hindbrain_awayfrom_boundary,1
764,cell_469,cell_481,5.633866746394796,Midbrain_awayfrom_boundary,2
765,cell_469,cell_505,88.36544947504747,Midbrain_awayfrom_boundary,2
766,cell_469,cell_511,285.29846211397404,Midbrain_awayfrom_boundary,1
767,cell_470,cell_481,239.7587407557011,Midbrain_awayfrom_boundary,1
768,cell_470,cell_493,284.86017132261225,Midbrain_awayfrom_boundary,1
769,cell_473,cell_474,57.05801306861389,Hindbrain_awayfrom_boundary,3
770,cell_473,cell_497,303.7833401703429,Hindbrain_awayfrom_boundary,3
771,cell_473,cell_510,263.1738621106132,Hindbrain_awayfrom_boundary,3
772,cell_474,cell_483,165.60014100604135,Hindbrain_awayfrom_boundary,3
773,cell_474,cell_510,255.09428562683672,Hindbrain_awayfrom_boundary,3
774,cell_474,cell_520,167.78204349177142,Hindbrain_awayfrom_boundary,3
775,cell_474,cell_524,183.3520610555882,Hindbrain_awayfrom_boundary,3
789,cell_481,cell_493,146.8326772691487,Midbrain_awayfrom_boundary,1
790,cell_481,cell_511,285.153991413473,Midbrain_awayfrom_boundary,1
791,cell_482,cell_483,148.32127504940152,Hindbrain_awayfrom_boundary,3
792,cell_482,cell_494,192.29276598653684,Hindbrain_awayfrom_boundary,3
793,cell_483,cell_494,244.1468767784729,Hindbrain_awayfrom_boundary,3
794,cell_483,cell_520,298.4597944435677,Hindbrain_awayfrom_boundary,3
795,cell_484,cell_494,141.9428968900128,Hindbrain_awayfrom_boundary,2
796,cell_484,cell_503,91.79717467830736,Hindbrain_awayfrom_boundary,2
797,cell_484,cell_516,59.14077072017481,Hindbrain_awayfrom_boundary,2
798,cell_484,cell_519,145.84817545390155,Hindbrain_awayfrom_boundary,2
808,cell_489,cell_506,70.47325743456953,Midbrain_awayfrom_boundary,4
809,cell_489,cell_522,70.75779003255046,Midbrain_awayfrom_boundary,3
810,cell_491,cell_493,165.7267712745404,heterotypic,0
812,cell_491,cell_521,216.2233823786325,heterotypic,0
817,cell_493,cell_511,177.2754389676776,Midbrain_awayfrom_boundary,1
819,cell_494,cell_519,191.42936852202152,Hindbrain_awayfrom_boundary,3
820,cell_494,cell_520,93.21868562657568,Hindbrain_awayfrom_boundary,3
821,cell_494,cell_529,164.8734959985704,Hindbrain_awayfrom_boundary,3
822,cell_494,cell_530,119.0105076300289,Hindbrain_awayfrom_boundary,3
823,cell_494,cell_537,141.28431924303098,Hindbrain_awayfrom_boundary,3
824,cell_495,cell_507,67.69317048925119,Midbrain_awayfrom_boundary,5
830,cell_497,cell_500,200.7401363602137,Hindbrain_awayfrom_boundary,4
831,cell_497,cell_510,140.66792634330062,Hindbrain_awayfrom_boundary,4
832,cell_497,cell_544,138.01752399775762,Hindbrain_awayfrom_boundary,4
835,cell_500,cell_527,148.96257492542065,Hindbrain_awayfrom_boundary,5
841,cell_503,cell_514,23.84683322821374,Hindbrain_awayfrom_boundary,1
842,cell_503,cell_516,66.35936310864231,Hindbrain_awayfrom_boundary,2
843,cell_503,cell_538,37.38874267819181,Hindbrain_awayfrom_boundary,2
844,cell_505,cell_511,162.68142690453158,Midbrain_awayfrom_boundary,1
845,cell_505,cell_522,89.00089674873206,Midbrain_awayfrom_boundary,2
846,cell_505,cell_539,50.40720897476878,Midbrain_awayfrom_boundary,1
847,cell_505,cell_540,87.44767540241703,Midbrain_awayfrom_boundary,1
