,cell_1,cell_2,tension,relative_adhesion,log_tension,log_adhesion
775,cell_293,cell_328,162.77676021210036,1.3219964387114542e-17,5.092379692838688,-38.86480353333717
776,cell_294,cell_305,65.13061567000645,2.903769115178927e-17,4.176394725454004,-38.07793699288936
777,cell_294,cell_308,62.04845214218729,6.1123901269914265e-18,4.127915566008087,-39.636213794387714
778,cell_295,cell_302,43.44209503762884,1.9956997785433202e-17,3.7714289027691055,-38.452951825873896
779,cell_295,cell_310,141.64522774177317,4.617208803280556e-18,4.953325535216741,-39.916741306508506
780,cell_296,cell_300,50.321109499158325,4.015113556916159e-17,3.9184246610195084,-37.75388095073285
781,cell_296,cell_315,32.52480011535865,6.390125994794125e-17,3.482002878810389,-37.289192595208554
782,cell_296,cell_317,80.5170808245393,4.089464767335774e-18,4.388469346072411,-40.0381175761336
783,cell_297,cell_316,235.60817170645623,7.799852709035482e-17,5.462170135838311,-37.089841730838515
784,cell_297,cell_336,352.680720219382,1.9782533417479118e-17,5.865563172349502,-38.461732276148545
785,cell_298,cell_304,112.05379273173372,2.478095901349094e-17,4.718979048239314,-38.23645609733129
786,cell_298,cell_319,102.52701902761574,3.1588598046937165e-17,4.630126364111438,-37.99373543971108
787,cell_298,cell_323,66.13162176588153,2.8181727579658114e-17,4.1916470252915285,-38.10785786413253
788,cell_298,cell_334,94.63980038289768,1.4308338120918217e-17,4.550078110442397,-38.78568922117629
789,cell_299,cell_312,170.92507964084635,1.4140715784892745e-17,5.1412253297400525,-38.79747339342607
790,cell_299,cell_324,86.53132614875975,3.273746627741314e-17,4.4605065003854065,-37.95801149414999
791,cell_300,cell_309,256.95866973107775,3.452251695250327e-17,5.548915253795579,-37.904919897458925
792,cell_300,cell_317,93.98027775006736,4.4571225591471745e-17,4.543084949087065,-37.64944318918651
793,cell_301,cell_306,216.6556410929973,4.766454040018179e-16,5.378309185663683,-35.27975884729109
794,cell_301,cell_320,220.61713603520525,8.899095614672002e-17,5.396428783019234,-36.95799692565296
795,cell_302,cell_307,97.53328162580986,3.5285037367769085e-17,4.580193669765448,-37.88307267041355
796,cell_302,cell_310,111.9335183127782,1.1148916692260586e-17,4.717905108559834,-39.03518933835159
797,cell_303,cell_321,425.52121123562574,3.962448636894336e-18,6.053314796913433,-40.069669497071395
798,cell_304,cell_319,104.1642700941223,7.702697932859774e-17,4.645969173147253,-37.10237593251731
